date,service,region,usage_type,cost,currency
2026-08-01,EC2,ap-southeast-1,Compute,1247.68,INR
2026-08-01,S3,ap-south-1,Storage,346.13,INR
2026-08-01,RDS,ap-southeast-1,Database,723.34,INR
2026-08-01,Lambda,ap-southeast-1,Compute,234.27,INR
2026-08-01,CloudFront,ap-southeast-1,Data Transfer,251.74,INR
2026-08-01,DynamoDB,us-east-1,Database,240.14,INR
2026-08-02,EC2,us-east-1,Compute,1207.66,INR
2026-08-02,S3,us-east-1,Storage,345.53,INR
2026-08-02,RDS,ap-south-1,Database,893.59,INR
2026-08-02,Lambda,ap-south-1,Compute,224.62,INR
2026-08-02,CloudFront,us-east-1,Data Transfer,319.59,INR
2026-08-02,DynamoDB,ap-southeast-1,Database,219.52,INR
2026-08-03,EC2,ap-southeast-1,Compute,1340.7,INR
2026-08-03,S3,ap-southeast-1,Storage,343.68,INR
2026-08-03,RDS,ap-south-1,Database,798.43,INR
2026-08-03,Lambda,ap-southeast-1,Compute,205.69,INR
2026-08-03,CloudFront,us-east-1,Data Transfer,287.4,INR
2026-08-03,DynamoDB,ap-south-1,Database,288.26,INR
2026-08-04,EC2,ap-southeast-1,Compute,1142.34,INR
2026-08-04,S3,ap-southeast-1,Storage,341.83,INR
2026-08-04,RDS,ap-southeast-1,Database,872.33,INR
2026-08-04,Lambda,us-east-1,Compute,205.97,INR
2026-08-04,CloudFront,us-east-1,Data Transfer,271.36,INR
2026-08-04,DynamoDB,us-east-1,Database,241.82,INR
2026-08-05,EC2,us-east-1,Compute,1466.72,INR
2026-08-05,S3,ap-south-1,Storage,383.42,INR
2026-08-05,RDS,us-east-1,Database,847.26,INR
2026-08-05,Lambda,ap-southeast-1,Compute,202.74,INR
2026-08-05,CloudFront,ap-south-1,Data Transfer,313.55,INR
2026-08-05,DynamoDB,ap-south-1,Database,250.51,INR
2026-08-06,EC2,us-east-1,Compute,1274.28,INR
2026-08-06,S3,ap-south-1,Storage,334.93,INR
2026-08-06,RDS,ap-south-1,Database,821.99,INR
2026-08-06,Lambda,ap-south-1,Compute,171.79,INR
2026-08-06,CloudFront,ap-southeast-1,Data Transfer,313.97,INR
2026-08-06,DynamoDB,ap-southeast-1,Database,267.75,INR
2026-08-07,EC2,ap-southeast-1,Compute,1119.44,INR
2026-08-07,S3,ap-south-1,Storage,341.34,INR
2026-08-07,RDS,ap-southeast-1,Database,703.48,INR
